tick	outerResourceControl	captureUsedProducerLowerBound	oldGateLowerBound	logisticsCpuUsedV1	logisticsBytes	dataBytesAttested	dataBytesObserved	snapshotByteMismatch	bucket	available	complete	projectionTruncated	effectiveAuthorityLegacy	comparisons	matched	different	unresolved	reasonEqual	reasonExpectedPolicyDifference	reasonUnsafeCandidate	matcherIndexBuilds	matcherBudgetExhausted	nonLegacyAuthority	activeContracts	activeLeases	activeClaims	shadowObservableRecords	violations
73088330	2.7162057000095956	1.324	4.0402057000095954	2.356	3696	1640	1640	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088340	3.496032800001558	1.494	4.990032800001558	2.537	3695	1639	1639	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088350	3.3259928000043146	1.671	4.996992800004315	2.869	3696	1640	1640	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088360	2.6734720999957062	1.168	3.8414720999957064	2.176	3695	1639	1639	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088370	3.3793578000040725	1.296	4.675357800004073	2.469	3696	1640	1640	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088380	2.880088900012197	1.277	4.157088900012197	2.167	3696	1640	1640	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088390	2.616672500007553	1.439	4.055672500007553	2.49	3695	1640	1640	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088400	2.8941028999979608	1.29	4.184102899997961	2.326	3694	1639	1639	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088410	3.3143265999970026	1.646	4.9603265999970025	2.742	3695	1639	1639	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088420	3.1755490000214195	1.384	4.55954900002142	2.471	3695	1639	1639	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088430	2.970180200005416	1.948	4.918180200005416	3.036	3694	1638	1638	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088440	2.851903599992511	1.491	4.3429035999925105	2.579	3694	1638	1638	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088450	2.5394303999928525	1.009	3.5484303999928524	1.967	3694	1638	1638	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088460	3.320980000004056	1.438	4.758980000004056	2.717	3695	1639	1638	1	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088470	3.0409976999799255	1.54	4.580997699979926	2.655	3693	1638	1638	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088480	4.445637299999362	1.178	5.623637299999362	2.342	3696	1640	1640	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088490	2.607723299995996	1.347	3.954723299995996	2.341	3704	1648	1648	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088500	2.2191584999818588	0.857	3.076158499981859	1.241	1719	229	229	0	10000	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
73088510	3.4802391000121133	1.578	5.058239100012114	2.804	3692	1634	1634	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088520	3.28785860001517	1.524	4.81185860001517	2.808	3691	1633	1633	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088530	3.1765590999857523	1.363	4.539559099985752	2.435	3691	1633	1633	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088540	2.5825136999919778	1.315	3.8975136999919777	2.306	3692	1634	1634	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088550	3.090401599998586	1.393	4.483401599998586	2.511	3691	1633	1633	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
73088560	2.623266099995817	1.333	3.9562660999958172	2.348	3692	1634	1634	0	10000	1	1	0	1	2	1	1	0	1	0	1	1	0	0	0	0	0	0	0
